,국가,대학교명,번역,분류,번역_전처리,5분류,요약
21,한국,Ajou,"우리 대학을 비롯한 5개 대학이 공동 주최·주관한 ‘2021 대학연합창업캠프-B대면 창업 데이트’가 한 달의 여정을 성황리에 마쳤다. 아주대 LINC+사업단·성균관대 LINC+사업단·한양대 ERICA LINC+사업단과 부산대 창업지원단, 포항공대 산학협력단이 함께 마련한 ‘2021 대학연합창업캠프-B대면 창업 데이트’는 지난 7월 특강을 시작으로 개막, 8월 모의투자 데모데이로 마무리됐다. 총 75명의 대학생들이 를 주제로 ▲식량과 농업 ▲물 ▲에너지 ▲도시 ▲순환경제와 관련한 사회 문제 해결책 개발에 나섰다. 5개 대학의 학생들이 골고루 섞인 15개팀이 구성되어, 창업 전문가들의 특강과 멘토링을 기반으로 팀 빌딩부터 아이디어 발굴, 비즈니스 모델 발표, 사업계획서 작성, 모의투자 데모데이까지 예비 창업팀이 경험해볼 수 있는 다양한 실전 프로그램에 참여했다. 행사는 온라인으로 진행됐다. 한달 간 발전시킨 창업 아이디어를 심사한 결과, 15개 연합팀 가운데 Ampere(암페어)팀이 최우수상을 받았다. 이 팀은 ‘폐휴대폰 업사이클링을 통한 개발용 보드 제작’이라는 아이디어를 냈다. 우수상은 ‘캠퍼 들의 친환경 에너지 자급자족을 위해 전동 킥보드 폐배터리를 활용한 다용도 에너지 저장장치’로 뫼비우스의 띵팀이, 장려상은 ‘도심 속 유휴공간을 활용한 텃밭 대여 시스템과 스마일 팜’으로 시티져스팀이 받았다. ‘유해종으로 폐기되는 갯끈풀을 활용한 나노셀룰로오스 공기청정기 필터개발’의 VC9팀도 장려상을 받았다. 이번 대학연합창업캠프에서 배출된 예비 창업 우수팀들에게는 아주대 창업지원단과 창업교육센터가 협업 하여 지식재산권 출원 및 창업컨설팅, 시제품 제작 등 다각적인 후속 사업을 지원할 계획이다. 더불어 참여 대학 간 긴밀한 협업을 통해 이번 창업팀들이 실제 창업으로까지 이어갈 수 있도록 인큐베이팅 프로그램을 공동으로 진행하는 등 후속 사업을 모색할 예정이다.",15,"우리 대학을 비롯한 5개 대학이 공동 주최 주관한 2021대학연합 창업캠프 B대면 창업 데이트가 한 달의 여정을 성황리에 마쳤다. 아주대 LINC 사업단 성균관대 LINC사업단 한양대 ERICALINC 사업단과 부산대 창업지원단, 포항공대 산학협력단이 함께 마련한 2021대학연합 창업캠프 B대면 창업 데이트는 지난 7월 특강을 시작으로 개막, 8월 모의투자 데모데이로 마무리됐다. 총 75명의 대학생들이를 주제로 식량과 농업물 에너지도시 순환경제와 관련한 사회문제 해결책 개발에 나섰다.5개 대학의 학생들이 골고루 섞인 15개 팀이 구성되어, 창업 전문가들의 특강과 멘토링을 기반으로 팀 빌딩부터 아이디어 발굴, 비즈니스 모델 발표, 사업계획서 작성, 모의투자 데모데이까지 예비창업팀이 경험해 볼 수 있는 다양한 실전 프로그램에 참여했다. 행사는 온라인으로 진행됐다. 한 달간 발전시킨 창업 아이디어를 심사한 결과, 15개 연합팀 가운데 Ampere암페어팀이 최우수상을 받았다. 이 팀은 폐휴대폰 업사이 클링을 통한 개발용 보드 제작이라는 아이디어를 냈다. 우수상은 캠퍼들의 친환경 에너지 자급자족을 위해 전동킥 보드 폐 배터리를 활용한 다용도 에너지저장장치로 뫼비우스의 띵팀이, 장려상은 도심 속 유휴공간을 활용한 텃밭 대여 시스템과 스마일팜으로 시티져스팀이 받았다. 유해종으로 폐기되는 갯끈 풀을 활용한 나노 셀룰로오스 공기청정기 필터개발의 VC9팀 도장려상을 받았다. 이번 대학연합 창업캠프에서 배출된 예비창업 우수팀들에게는 아주대 창업지원단과 창 업 교육센터가 협업하여 지식재산권 출원 및 창업 컨설팅, 시제품 제작 등 다각적인 후속 사업을 지원할 계획이다. 더불어 참여 대학 간 긴밀한 협업을 통해 이번 창업팀들이 실제 창업으로까지 이어갈 수 있도록 인큐베이팅 프로그램을 공동으로 진행하는 등 후속 사업을 모색할 예정이다.",2," 대학의 학생들이 골고루 섞인 15개 팀이 구성되어, 창업 전문가들의 특강과 멘토링을 기반으로 팀 빌딩부터 아이디어 발굴, 비즈니스 모델 발표, 사업계획서 작성, 모의투자 데모데이까지 예비창업팀이 경험해 볼 수 있는 다양한 실전 프로그램에 참여했다. 행사는 온라인으로 진행됐다. 한 달간 발전시킨 창업 아이디어를 심사한 결과, 15개 연합팀 가운데 Ampere암페어팀이 최우수상을 받았다. 이 팀은 폐휴대폰 업사이 클링을 통한 개발용 보드 제작이라는 아이디어를 냈다. 우수상은 캠퍼들의 친환경 에너지 자급자족을 위해 전동킥 보드 폐 배터리를 활용한 다용도 에너지저장장치로 뫼비우스의 띵팀이, 장려상은 도심 속 유휴공간을 활용한 텃밭 대여 시스템과 스마일팜으로 시티져스팀이 받았다. 유해종으로 폐기되는 갯끈 풀을 활용한 나노 셀룰로오스 공기청정기 필터개발의 VC9팀 도장려상을 받았다. 이번 대학연합 창업캠프에서 배출된 예비창업 우수팀들에게는 아주대 창업지원단과 창 업 교육센터가 협업하여 지식재산권 출원 및 창업 컨설팅, 시제품 제작 등 다각적인 후속 사업을 지원할 계획이다. 더불어 참여 대학 간 긴밀한 협업을 통해 이번 창업팀들이 실제 창업으로까지 이어갈 수 있도록 인큐베이팅 프로그램을 공동으로 진행하는 등 후속 사업을 모색할 예정이다."
5,한국,Seoul,"서울대학교 1인당 폐기물 발생량 
∙재활용이 가능한 일반폐기물을 대상으로 1인당 폐기물 발생량을 산정한 결과 2019년 기준으로 1인당 약 93 kg의 폐기물을 발생시키고 있으며 재활용량을 고려한 순 배출량은 13 kg인 것으로 나타났습니다. 1인당 연간 폐기물 발생량은 95 Kg 내외를 기록하고 있지만 재활용률의 꾸준한 증가에 의하여 순 배출량은 꾸준히 감소하고 있는 추세입니다.",12,서울대학교 1인당 폐기물 발생량 재활용이 가능한 일반폐기물을 대상으로 1인당 폐기물 발생량을 산정한 결과 2019년 기준으로 1인당 약 93kg의 폐기물을 발생시키고 있으며 재활용량을 고려한 순배출량은 13kg인 것으로 나타났습니다.1인당 연간 폐기물 발생량은 95Kg 내외를 기록하고 있지만 재활용률의 꾸준한 증가에 의하여 순배출량은 꾸준히 감소하고 있는 추세입니다.,2, 연간 폐기물 발생량은 95Kg 내외를 기록하고 있지만 재활용률의 꾸준한 증가에 의하여 순배출량은 꾸준히 감소하고 있는 추세입니다.
14,한국,Ajou,"아주대학교 아주지속가능발전센터는 본교 플라스틱 및 일회용품 감축, 물 절약을 촉진하는 AJOU 친환경 캠페인을 진행했다. 최근 UN 보고서 내용 중 긴급한 자금 투입 없이는 2030년까지 전 세계적으로 수십억 명이 안전한 식수, 위생 서비스에 접근할 수 없는 위험에 처해 있다는 점은 플라스틱 폐기물과 물 절약의 필요성을 시사하고 있다. 이에 센터는 본교 구성원의 환경 인식을 개선하고, 물의 가치를 제고하기 위하여 AJOU 친환경 캠페인을 실시하였다",6,"아주대학교 아주 지속가능발전센터는 본교 플라스틱 및 일회용품 감축, 물 절약을 촉진하는 AJOU 친환경 캠페인을 진행했다. 최근 UN 보고서 내용 중 긴급한 자금 투입 없이는 2030년까지 전 세계적으로 수십억 명이 안전한 식수, 위생서비스에 접근할 수 없는 위험에 처해 있다는 점은 플라스틱 폐기물과 물 절약의 필요성을 시사하고 있다.이 에 센터는 본교 구성원의 환경인식을 개선하고, 물의 가치를 제고하기 위하여 AJOU 친환경 캠페인을 실시하였다",2," 에 센터는 본교 구성원의 환경인식을 개선하고, 물의 가치를 제고하기 위하여 AJOU 친환경 캠페인을 실시하였다"
3,한국,Seoul,"폐기물 발생량
∙ 폐기물 총량은 일반폐기물, 지정폐기물, 건설폐기물을
모두 포함하여 산정되었으며 총량 기준으로 2017년에
감소했다가 2018년부터 등락을 보이고 있으며 건설 폐
기물이 차지하는 비율이 약 45%로 상당합니다. 
∙ 건설폐기물을 제외한 일반폐기물과 지정폐기물의 발생
량을 분석해보면 2017년과 2018년에는 전년대비 각각
2.1%, 1.7%로 증가하였으나 2019년에 전년대비 약
7.4% 감소했습니다. 또한 일반폐기물이 지정 폐기물보
다 더 큰 감소량을 보였습니다.",12,"폐기물 발생량 폐기물 총량은 일반 폐기물, 지정폐기물, 건설폐기물을 모두 포함하여 산정되었으며 총량기준으로 2017년에 감소했다가 2018년부터 등락을 보이고 있으며 건설폐기물이 차지하는 비율이 약 45로 상당합니다.건설폐기물을 제외한 일반폐기물과 지정폐기물의 발생량을 분석해보면 2017년과 2018년에는 전년 대비 각각 2.1, 1.7로 증가하였으나 2019년에 전년 대비 약 7.4 감소했습니다. 또한 일반폐기물이 지정폐기물보다 더 큰 감소량을 보였습니다.",2, 증가하였으나 2019년에 전년 대비 약 7
13,한국,Ajou,"아주대학교 건설시스템공학과 이재응 교수가 환경부가 개최한 2021년 ‘세계 물의 날’ 기념식에서 정부 포상을 받았다. 2021년 3월, 환경부는 부산 벡스코(BEXCO)와 온라인을 통해 ‘물의 가치, 미래의 가치’라는 주제로 ‘세계 물의 날’ 기념식을 개최했다. 이번 행사에서는 물 관리 분야에 이바지한 유공자를 선정해 정부 포상을 수여했다. 이재응 교수는 다목적 댐 용수공급평가 표준화 방안을 마련한 공로를 인정받아 정부포상 유공자로 선정 됐다. 이 교수는 과다한 댐 개발 방지 및 다목적 댐과 발전용 댐을 연계해 수도권의 용수부족을 완화할 수 있는 시스템 구축 등을 연구했다. 환경부는 매년 22일 UN이 지정한 ’세계 물의 날‘을 기념해 취지를 되새기고 국제 사회의 노력에 동참하고자 기념식을 개최하고 있다. 해당 행사에는 ▲정책세미나 ▲이모티콘 공모전 ▲국민 영상 공모전 ▲1리터 챌린지 등의 행사를 마련했다.",6,"아주대학교 건설시스템공학과 이재응 교수가 환경부가 개최한 2021년 세계물의 날 기념식에서 정부 포상을 받았다.2021년 3월, 환경부는 부산 벡스코 BEXCO와 온라인을 통해 물의 가치, 미래의 가치라는 주제로 세계물의 날 기념식을 개최했다. 이번 행사에서는 물관리 분야에 이바지한 유공자를 선정해 정부 포상을 수여했다.이 재응교수는 다목적댐 용수공급평가 표준화 방안을 마련한 공로를 인정받아 정부 포상 유공자로 선정됐다.이 교수는 과다한 댐 개발방 지 및 다목적댐과 발전용 댐을 연계해 수도권의 용수 부족을 완화할 수 있는 시스템 구축 등을 연구했다. 환경부는 매년 22일 UN이 지정한 세계물의 날을 기념해 취지를 되새기고 국제사회의 노력에 동참하고 자 기념식을 개최하고 있다. 해당 행사에는 정책세미나 이모티콘 공모전 국민영상 공모전 1리터 챌린지 등의 행사를 마련했다.",2," 3월, 환경부는 부산 벡스코 BEXCO와 온라인을 통해 물의 가치, 미래의 가치라는 주제로 세계물의 날 기념식을 개최했다. 이번 행사에서는 물관리 분야에 이바지한 유공자를 선정해 정부 포상을 수여했다"
17,한국,Ajou,"우리 학교 파란학기제에 참여하고 있는 창업동아리 스텝코(STEP-CO)팀은 12월 수원시 제로웨이스트 샵인 낯설여관, 그리니, 이지구, 가치상점과 함께 플리마켓(Flee Market)을 열었다. 플리마켓에는 스텝코의 뮬(mule, 슬리퍼의 일종)운동화와 열쇠고리, 대나무 칫솔, 생리컵 등 수원시 제로웨이스트 샵 낯설여관, 그리니, 이지구, 가치상점의 상품들이 함께 진열되어 있어 이목을 끌었다. 참여기업은 모두 쓰레기 없는 삶을 지향한다. 아주대학교 창업동아리 스텝코(STEP-CO)는 헌 신발을 '뮬'로 리디자인하여 폐운동화를 더 오랜 기간 활용할 수 있도록 하는 'SEE-MULE PROJECT'를 기획하여 진행 중이다. 이는 매일 평균 1,200톤의 폐섬유 처리과정에서 배출되는 대기오염물질을 방지하고자 하는 취지에서 시작되었고, 이를 기점으로 제로웨이스트 네트워크를 구축하여 앞으로도 다양한 사업을 추진할 예정이다.",12,"우리 학교 파란 학기제에 참여하고 있는 창업동아리 스텝코 STEPCO팀은 12월 수원시 제로웨이스트샵인 낯설여관, 그리니, 이 지구, 가치상점과 함께 플리마켓 FleeM arket을 열었다. 플리마켓에는 스텝코의 뮬mule, 슬리퍼의 일종운동화와 열쇠고리, 대나무 칫솔, 생리컵 등 수원시 제로웨이스트샵 낯설여관, 그리니, 이 지구, 가치상점의 상품들이 함께 진열되어 있어 이목을 끌었다. 참여 기업은 모두 쓰레기 없는 삶을 지향한다.아주대학교 창 업동아리 스텝코 STEPCO는 헌 신발을 뮬로리 디자인하여 폐운동화를 더 오랜 기간 활용할 수 있도록 하는 SEEMULEPROJ ECT를 기획하여 진행 중이다.이는 매일 평균 1,200톤의 폐섬유 처리 과정에서 배출되는 대기오염물질을 방지하고자 하는 취지에서 시작되었고, 이를 기점으로 제로웨이스트 네트워크를 구축하여 앞으로도 다양한 사업을 추진할 예정이다.",2, 창 업동아리 스텝코 STEPCO는 헌 신발을 뮬로리 디자인하여 폐운동화를 더 오랜 기간 활용할 수 있도록 하는 SEEMULEPROJ ECT를 기획하여 진행 중이다
11,한국,Seoul,"SDGs를 위한 그린리더십 프로그램Green Leadership Program for SDGs
∙그린리더십 프로그램은 2011년부터 서울대학교와 환경부가 공동으로 인증하는 통합 과정으로, 기후변화와 지속가능성 위기에 대처하는 실천적 그린리더를 양성하기 위한 교육 과정입니다. 그린리더십 교과과정은 11개의 그린리더십 핵심 교과목과 67개의 학점 인정과목으로 이루어지며, 인턴십은 필수과목으로, 협력기관에서 90시간의 현장실습으로 진행됩니다.",13,"SDGs를 위한 그린리더십 프로그램 GreenLeaders hipP rogramforSDGs 그린리더십 프로그램은 2011년부터 서울대학교와 환경부가 공동으로 인증하는 통합 과정으로, 기후변화와 지속가능성 위기에 대처하는 실천적 그린리더를 양성하기 위한 교육과정입니다. 그린리더십 교과과정은 11개의 그린리더십 핵심 교과목과 67개의 학점인정과목으로 이루어지며, 인턴십은 필수과목으로, 협력기관에서 90시간의 현장실습으로 진 행됩니다.",2,"SDGs를 위한 그린리더십 프로그램 GreenLeaders hipP rogramforSDGs 그린리더십 프로그램은 2011년부터 서울대학교와 환경부가 공동으로 인증하는 통합 과정으로, 기후변화와 지속가능성 위기에 대처하는 실천적 그린리더를 양성하기 위한 교육과정입니다. 그린리더십 교과과정은 11개의 그린리더십 핵심 교과목과 67개의 학점인정과목으로 이루어지며, 인턴십은 필수과목으로, 협력기관에서 90시간의 현장실습으로 진 행됩니다."
85,한국,Kyungpook,"응용생명과학부 신재호 교수 연구팀은 토양 미생물군집 분석과 머신러닝을 활용해 인삼 작물의 품질을 결정하는 방법을 개발했다. 국내 토양에서 자란 인삼은 중국 등 해외산 인삼보다 주성분과 효능이 우수한 것으로 확인됐다. 따라서 재배토양은 인삼의 품질에 큰 역할을 한다. 인삼은 토양의 질 의존도가 높고 훼손되기 쉬운 작물이다. 그러나 다양한 토양 분석 방법에도 불구하고 특정 토양에 대한 피해 여부를 사전에 판단하는 것은 매우 어려운 것으로 여겨진다. 신재호 교수팀은 인삼을 심기 전에 인삼녹병 발생을 예측할 수 있는 머신러닝 모델을 개발했다. 이 기술을 사용하면 토지나 토양 성분의 과거 재배 기록을 분석하지 않고도 미생물 분석을 통해 90.99%의 피해 확률을 예측할 수 있습니다. 농업 분야에서 인공지능 활용 가능성을 보여준 연구 결과, 국제학술지 Journal of Agricultural and Food Chemistry 표지 논문 게재",15,"응용생명과학부 신재호 교수 연구팀은 토양미생물군집 분석과 머신러닝을 활용해 인삼작물의 품질을 결정하는 방법을 개발했다. 국내 토양에서 자란 인삼은 중국 등 해외산인삼보다 주성분과 효능이 우수한 것으로 확인됐다. 따라서 재배 토양은 인삼의 품질에 큰 역할을 한다. 인삼은 토양의 질의존도가 높고 훼손되기 쉬운 작물이다. 그러나 다양한 토양 분석 방법에도 불구하고 특정 토양에 대한 피해 여부를 사전에 판단하는 것은 매우 어려운 것으로 여겨진다.신재호 교수팀은 인 삼을 심기 전에 인삼녹병 발생을 예측할 수 있는 머신러닝 모델을 개발했다.이 기술을 사용하면 토지나 토양성분의 과거 재배 기록을 분석하지 않고도 미생물 분석을 통해 90.99의 피해 확률을 예측할 수 있습니다. 농업 분야에서 인공지능 활용 가능성을 보여준 연구결과, 국제학술지 Jou rnalofAgriculturalandFoodChemist ry표지 논문 게재",2," 피해 확률을 예측할 수 있습니다. 농업 분야에서 인공지능 활용 가능성을 보여준 연구결과, 국제학술지 Jou rnalofAgriculturalandFoodChemist ry표지 논문 게재"
97,한국,Kyungpook,"응용생명과학부 신재호 교수 연구팀은 토양 미생물군집 분석과 머신러닝을 활용해 인삼 작물의 품질을 결정하는 방법을 개발했다. 국내 토양에서 자란 인삼은 중국 등 해외산 인삼보다 주성분과 효능이 우수한 것으로 확인됐다. 따라서 재배토양은 인삼의 품질에 큰 역할을 한다. 인삼은 토양의 질 의존도가 높고 훼손되기 쉬운 작물이다. 그러나 다양한 토양 분석 방법에도 불구하고 특정 토양에 대한 피해 여부를 사전에 판단하는 것은 매우 어려운 것으로 여겨진다. 신재호 교수팀은 인삼을 심기 전에 인삼녹병 발생을 예측할 수 있는 머신러닝 모델을 개발했다. 이 기술을 사용하면 토지나 토양 성분의 과거 재배 기록을 분석하지 않고도 미생물 분석을 통해 90.99%의 피해 확률을 예측할 수 있습니다. 농업 분야에서 인공지능 활용 가능성을 보여준 연구 결과, 국제학술지 Journal of Agricultural and Food Chemistry 표지 논문 게재",15,"응용생명과학부 신재호 교수 연구팀은 토양미생물군집 분석과 머신러닝을 활용해 인삼작물의 품질을 결정하는 방법을 개발했다. 국내 토양에서 자란 인삼은 중국 등 해외산인삼보다 주성분과 효능이 우수한 것으로 확인됐다. 따라서 재배 토양은 인삼의 품질에 큰 역할을 한다. 인삼은 토양의 질의존도가 높고 훼손되기 쉬운 작물이다. 그러나 다양한 토양 분석 방법에도 불구하고 특정 토양에 대한 피해 여부를 사전에 판단하는 것은 매우 어려운 것으로 여겨진다.신재호 교수팀은 인 삼을 심기 전에 인삼녹병 발생을 예측할 수 있는 머신러닝 모델을 개발했다.이 기술을 사용하면 토지나 토양성분의 과거 재배 기록을 분석하지 않고도 미생물 분석을 통해 90.99의 피해 확률을 예측할 수 있습니다. 농업 분야에서 인공지능 활용 가능성을 보여준 연구결과, 국제학술지 Jou rnalofAgriculturalandFoodChemist ry표지 논문 게재",2," 피해 확률을 예측할 수 있습니다. 농업 분야에서 인공지능 활용 가능성을 보여준 연구결과, 국제학술지 Jou rnalofAgriculturalandFoodChemist ry표지 논문 게재"
20,한국,Ajou,"아주대학교 MR-IoT 융합 재난대응 인공지능 연구센터가 ㈜우보재난 시스템과 재난대응 인공지능 연구개발을 위한 업무협약(MOU)을 체결했다. 우리 학교는 과학기술정보통신부에서 지원하는 에 선정돼 2018년 ‘MR-IoT 융합 재난대응 인공지능 연구센터’를 설립했다. 국내외 다양한 기관들과 협력 및 MOU 체결을 통해 재난 및 안전분야 관련 기술과 정보를 공유하며 혼합현실 및 사물인터넷 기술을 융합한 장비를 개발·연구하고 있다. 양 측은 협약을 통해 ▲혼합현실(MR, Mixed Reality)과 사물인터넷 (IoT) 융합 기술개발을 위한 상호연구 협력체계 구축 ▲4차 산업 기술 (AR, VR, IoT, AI 등)을 활용한 재난 대응 분야 등 공공연구과제 발굴 ▲기타 양 기관의 관심 사항 등에 상호 협력하기로 했다. ㈜우보재난시스템은 기상장비와 관측시스템, 재난예경보시스템 등 자연적·사회적 재난 대비를 위한 통합 재난방재시스템을 개발 및 제조하는 재난시스템 전문 기업이다. 장희석 ㈜우보재난시스템 대표는 “정부 및 지자체의 다양한 재난안전 사업 참여와 방재시스템 개발을 통해 사물인터넷과 인공지능 기술 접목 연구를 꾸준히 진행해 왔다”며 “이번 산학협력을 통해 혼합현실 기술 까지 재난대응분야에 융합하는 기술을 연구·개발해 나가겠다”고 전했다.",13,"아주대학교 MRIoT 융합재난대응인공지능 연구센터가 우보 재난 시스템과 재난대응인 공지능 연구개발을 위한 업무협약 MOU을 체결했다. 우리 학교는 과학기술 정보통신부에서 지원하는 에선정돼 2018년 MRIoT 융합재난대응인 공지능 연구센터를 설립했다. 국내외 다양한 기관들과 협력 및 MOU 체결을 통해 재난 및 안전 분야 관련 기술과 정보를 공유하며 혼합현실 및 사물인터넷 기술을 융합한 장비를 개발연구하고 있다. 양측은 협약을 통해 혼합 현실 MR,  Mix edReality과 사물인터넷 IoT 융합기술 개발을 위한 상호연구 협력체계 구축 4차 산업기술 AR, VR, IoT, AI 등을 활용한 재난대응 분야 등 공공연구과제 발굴 기타 양 기관의 관심사항 등에 상호 협력하기로 했다. 우보재난 시스템은 기상장비와 관측시스템, 재난예경보시스템 등 자연적 사회적 재난대비를 위한 통합재난방재 시스템을 개발 및 제조하는 재난시스템 전문기업이다. 장희석 우보재난시스템 대표는 정부 및 지자체의 다양한 재난안전사 업 참여와 방재시스템 개발을 통해 사물인터넷과 인공지능 기술 접목 연구를 꾸준히 진행해왔다며 이번 산학협력을 통해 혼합 현실 기술까지 재난 대응 분야에 융합하는 기술을 연구개발해 나가겠다고 전했다.",2,"아주대학교 MRIoT 융합재난대응인공지능 연구센터가 우보 재난 시스템과 재난대응인 공지능 연구개발을 위한 업무협약 MOU을 체결했다. 우리 학교는 과학기술 정보통신부에서 지원하는 에선정돼 2018년 MRIoT 융합재난대응인 공지능 연구센터를 설립했다. 국내외 다양한 기관들과 협력 및 MOU 체결을 통해 재난 및 안전 분야 관련 기술과 정보를 공유하며 혼합현실 및 사물인터넷 기술을 융합한 장비를 개발연구하고 있다. 양측은 협약을 통해 혼합 현실 MR,  Mix edReality과 사물인터넷 IoT 융합기술 개발을 위한 상호연구 협력체계 구축 4차 산업기술 AR, VR, IoT, AI 등을 활용한 재난대응 분야 등 공공연구과제 발굴 기타 양 기관의 관심사항 등에 상호 협력하기로 했다. 우보재난 시스템은 기상장비와 관측시스템, 재난예경보시스템 등 자연적 사회적 재난대비를 위한 통합재난방재 시스템을 개발 및 제조하는 재난시스템 전문기업이다. 장희석 우보재난시스템 대표는 정부 및 지자체의 다양한 재난안전사 업 참여와 방재시스템 개발을 통해 사물인터넷과 인공지능 기술 접목 연구를 꾸준히 진행해왔다며 이번 산학협력을 통해 혼합 현실 기술까지 재난 대응 분야에 융합하는 기술을 연구개발해 나가겠다고 전했다."
